,index,title,gov_link,details
399,400,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
400,401,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
401,402,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
402,403,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
403,404,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
404,405,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
405,406,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
406,407,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
407,408,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
408,409,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
409,410,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
410,411,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
411,412,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
412,413,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
413,414,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
414,415,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
415,416,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
416,417,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
417,418,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
418,419,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
419,420,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
420,421,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
421,422,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
422,423,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
423,424,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
424,425,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
425,426,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
426,427,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
427,428,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
428,429,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
429,430,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
430,431,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
431,432,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
432,433,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
433,434,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
434,435,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
435,436,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
436,437,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
437,438,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
438,439,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
439,440,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
440,441,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
441,442,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
442,443,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
443,444,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
444,445,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
445,446,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
446,447,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
447,448,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
448,449,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
449,450,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
450,451,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
451,452,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
452,453,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
453,454,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
454,455,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
455,456,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
456,457,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
457,458,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
458,459,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
459,460,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
460,461,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
461,462,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
462,463,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
463,464,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
464,465,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
465,466,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
466,467,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
467,468,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
468,469,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
469,470,Information on Child Development,http://wcd.nic.in/schemes-listing/2404,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers."
470,471,Guidelines for Integrated Development of Commercial Floriculture Scheme,http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given."
471,472,Social defence schemes of Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro2.php,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.
472,473,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment,http://socialjustice.nic.in/schemespro3.php,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the..."
473,474,Information on Rashtriya Madhyamik Shiksha Abhiyan,http://mhrd.gov.in/rmsa_integrated,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools."
